type,name,label::English,label: Arabic,hint::English,hint::Arabic,required,relevant,choice_filter,constraint,constraint_message::English,constraint_message::Arabic,calculation,appearance,repeat_count,default
select_one wgss,difficulty_hearing,"30.2 Does [this person] have difficulty hearing, even if using a hearing aid?",30.2 ?? ????? [??? ?????] ?? ????? ?? ????? ? ??? ?? ??? ?????? ????? ?????,,,TRUE,"selected(${presence_disability},'hearing') and ${difficulty_age} > 4",,,,,,,,
select_one wgss,difficulty_walking,30.3 Does [this person] have difficulty walking or climbing steps?,30.3 ?? [??? ?????] ??? ????? ?? ????? ?? ???? ??????,,,TRUE,"selected(${presence_disability},'walking') and ${difficulty_age} > 4",,,,,,,,
select_one wgss,difficulty_remembering,30.4 Does [this person] have difficulty remembering or concentrating?,30.4 ?? [??? ?????] ??? ????? ?? ?????? ?? ????????,,,TRUE,"selected(${presence_disability},'remembering') and ${difficulty_age} > 4",,,,,,,,
select_one wgss,difficulty_washing,"30.5 Does [this person] have difficulty with (self-care, such as) washing all over or dressing?",30.5 ?? ??? [??? ?????] ????? ?? (??????? ??????? ? ???) ???????? ?? ?????? ????????,,,TRUE,"selected(${presence_disability},'self_care') and ${difficulty_age} > 4",,,,,,,,
select_one wgss,difficulty_communicating,"30.6 Using your usual (customary) language, does [this person] have difficulty communicating, for example understanding or being understood?",30.6 ???????? ???? ???????? (???????) ? ?? [??? ?????] ??? ????? ?? ??????? ? ??? ???? ?????? ????? ?? ??????,,,TRUE,"selected(${presence_disability},'communicating') and ${difficulty_age} > 4",,,,,,,,
calculate,cwd_calc,,,,,,,,,,,"if(${difficulty_seeing}='a_lot_of_difficulty' or ${difficulty_seeing}='cannot_do_at_all' and ${difficulty_hearing}='a_lot_of_difficulty' or ${difficulty_hearing}='cannot_do_at_all' and ${difficulty_walking}='a_lot_of_difficulty' or ${difficulty_walking}='cannot_do_at_all' and ${difficulty_remembering}='a_lot_of_difficulty' or ${difficulty_remembering}='cannot_do_at_all' and ${difficulty_washing}='a_lot_of_difficulty' or ${difficulty_washing}='cannot_do_at_all' and ${difficulty_communicating}='a_lot_of_difficulty' or ${difficulty_communicating}='cannot_do_at_all' and ${difficulty_age} < 18,1,0)",,,
calculate,female_disability_calc,,,,,,,,,,,"if(${difficulty_seeing}='a_lot_of_difficulty' or ${difficulty_seeing}='cannot_do_at_all' and ${difficulty_hearing}='a_lot_of_difficulty' or ${difficulty_hearing}='cannot_do_at_all' and ${difficulty_walking}='a_lot_of_difficulty' or ${difficulty_walking}='cannot_do_at_all' and ${difficulty_remembering}='a_lot_of_difficulty' or ${difficulty_remembering}='cannot_do_at_all' and ${difficulty_washing}='a_lot_of_difficulty' or ${difficulty_washing}='cannot_do_at_all' and ${difficulty_communicating}='a_lot_of_difficulty' or ${difficulty_communicating}='cannot_do_at_all' and ${difficulty_sex}=""female"",1,0)",,,
calculate,male_disability_calc,,,,,,,,,,,"if(${difficulty_seeing}='a_lot_of_difficulty' or ${difficulty_seeing}='cannot_do_at_all' and ${difficulty_hearing}='a_lot_of_difficulty' or ${difficulty_hearing}='cannot_do_at_all' and ${difficulty_walking}='a_lot_of_difficulty' or ${difficulty_walking}='cannot_do_at_all' and ${difficulty_remembering}='a_lot_of_difficulty' or ${difficulty_remembering}='cannot_do_at_all' and ${difficulty_washing}='a_lot_of_difficulty' or ${difficulty_washing}='cannot_do_at_all' and ${difficulty_communicating}='a_lot_of_difficulty' or ${difficulty_communicating}='cannot_do_at_all' and ${difficulty_sex}=""male"",1,0)",,,
end_repeat,member_end,,,,,,,,,,,,${num_disability},,
end_group,disabilities_loop,,,,,,,,,,,,,,
calculate,tot_cwd,,,,,,,,,,,sum(${cwd_calc}),,,
calculate,tot_disab_female,,,,,,,,,,,sum(${female_disability_calc}),,,
calculate,tot_disab_male,,,,,,,,,,,sum(${male_disability_calc}),,,
note,calc_tot_cwd_note,"Total number of individuals with a disability: ${num_disability}
Total number of children with a disability: ${tot_cwd}
Total number females with a disability: ${tot_disab_female}
Total number males with a disability: ${tot_disab_male}","????? ??? ??????? ??? ??????? ${num_disability}
 ????? ??? ??????? ??? ??????? ${tot_cwd}
 ????? ??? ?????? ??? ??????? ${tot_disab_female}
 ????? ??? ?????? ??? ??????? ${tot_disab_male}",,,,,,,,,,,,
select_one yndd,difficulty_accessing_services,"31. Does any member of your household face any difficulties in accessing any basic services (e.g education, health clinics, markets, etc.) due to their physical or mental difficulty?",31. ?? ????? ??? ????? ????? ?? ????? ?? ?????? ??? ??? ????? ?????? (??? ??????? ????????? ?????? ???????? ? ??? ??? ???) ???? ??????? ???? ????????,,,TRUE,${num_disability} > 0,,,,,,,,
select_one why_difficulty,why_difficulty_services,"31.1 If yes, what is the main reason preventing them from accessing services?",31.1 ??? ???? ?? ????? ??????? ???? ?????? ?? ?????? ??? ????????,,,TRUE,"selected(${difficulty_accessing_services},'yes')",,,,,,,,
text,why_difficulty_services_other,"31.2 If other, please describe",31.2 ?? ????? ???? ???????,,,TRUE,"selected(${why_difficulty_services}, 'other')",,,,,,,,
end_group,disabilities,,????????,,,,,,,,,,,,
select_one yes_no,hh_member_distress,"32. Has any member of your household suffered or showed signs of psychosocial distress or trauma such as nightmare, lasting sadness, extreme fatigue, being often tearful or extreme anxiety, in the last 30 days?",32. ?? ???? ?? ??? ?? ????? ????? ?? ???? ?????? ????? ?????? ????????? ?? ?????? ??? ???????? ????? ??????? ????? ??????? ?????? ?? ???? ?? ??????? ?? ????? ??????? ?? ???????? ????? ????????,,,TRUE,,,,,,,,,
integer,child_distress_number,"32.1 If yes, how many persons under 18 years showed these signs?",32.1 ??? ???? ?? ??? ??????? ????? ??? ??????? ?? 18 ????? ???? ????? ?? ?? ??? ?????????,,,TRUE,"selected(${hh_member_distress},'yes')",,.=0 or.<=${tot_children},Cannot be larger than number of children (less than 18 years old) in household,?? ???? ?? ???? ???? ?? ??? ??????? (??? ?? 18 ???) ?? ??????,,,,
integer,adult_distress_number,"32.2 If yes, how many persons aged 18 or older showed these signs?",32.2 ??? ???? ?? ??? ??????? ????? ???? ??????? 18 ????? ?? ???? ???? ????? ?? ?? ??? ?????????,,,TRUE,"selected(${hh_member_distress},'yes')",,.=0 or.<=${tot_adults},Cannot be larger than number of adults (18 years and older) in household,?? ???? ?? ???? ???? ?? ??? ??????? (18 ??? ?????) ?? ??????,,,,
select_one yndp,psychosocial_services,"33. Are you aware of any medical, legal, mental health and/or psychosocial support services for women and girls available in your community in case they experience harm or violence (incl. sexual abuse and exploitation) because of their gender?",33. ?? ??? ??? ??? ??? ????? ???? ?? ??????? ?? ????? ??? ???? ?? ??? ???? ?????? ???????? ?????? ?? ?????? ?? ??? ????? ????? ?? ????? (??? ?? ??? ???????? ?????????? ????????) ???? ??????,,,TRUE,,,,,,,,,
select_multiple pss,type_of_pss,"33.1 If yes, what types of services are you aware of?",33.1? ???? ?? ?? ????? ??????? ???? ???????,,,TRUE,"selected(${psychosocial_services}, 'yes')",,"not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1)","Cannot select ""Don't Know"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,type_of_pss_other,"33.2 If other, please describe",33.2 ??? ????? ???? ???????,,,TRUE,"selected(${type_of_pss}, 'other')",,,,,,,,
select_one yndd,women_specialised_services,34. Do women of reproductive age (15-49 years) have access to specialized reproductive health services?,34. ?? ????? ?????? ?? ?? ??????? (15-49 ???) ???????? ?????? ??? ????? ????? ????????? ?????????,,,TRUE,,,,,,,,,
end_group,health_group,,,,,,,,,,,,,,
begin_group,wash,WASH Survey,?????? ?????? ????? ???????? ,,,,"selected(${consent},'yes')",,,,,,,,
note,wash_start,"The next couple of questions will pertain to the WATER, SANITATION and HYGIENE situation of your household",????? ??????? ??????? ????? ?????? ?????? ????? ???????? ?? ?????:,,,,,,,,,,,,
select_one water_source,drinking_water_source,35. What is the main source of water used by your household for drinking purposes?,35. ?? ?? ?????? ??????? ?????? ???? ???????? ????? ?????? ??????,,,TRUE,,,,,,,,,
text,drinking_source_other,"35.1 If other, please specify",35.1 ??? ????? ???? ???????,,,TRUE,"selected(${drinking_water_source},'other')",,,,,,,,
select_one yndp,changed_drinking_source,35.2 Is this water source different from the primary one used by your household before the recent escalation?,35.2 ?? ???? ???? ???? ????? ??????? ?? ????? ????? ??????? ???????,,,TRUE,"selected(${location}, 'gaza')",,,,,,,,
select_one water_source,domestic_water_source,"36. What is the main source of water used by your household for domestic purposes (cooking, personal hygiene, cleaning)?",36. ?? ?? ?????? ??????? ?????? ???? ???????? ????? ??????? ???????? (????? ? ??????? ??????? ? ???????)?,,,TRUE,,,,,,,,,
text,domestic_source_other,"36.1 If other, please specify",36.1 ??? ????? ???? ???????,,,TRUE,"selected(${domestic_water_source},'other')",,,,,,,,
select_one latrines,latrines,37. What kind of sanitation facility (latrine/toilet) does your household usually use?,37 ?? ?? ??? ???????? (???????) ???? ??????? ????? ?????,,,TRUE,,,,,,,,,
text,latrines_other,"37.1  If other, please specify",37.1 ??? ????? ???? ???????,,,TRUE,"selected(${latrines}, 'other')",,,,,,,,
select_one yes_no,shared_sanitation,37.2 Do you share this sanitation facility (latrine or toilet) with other households?,37.2?? ????? ????? ???????? (???????) ?? ??? ?????,,,TRUE,"not(selected(${latrines},'none')) and not(selected(${latrines},'do_not_know')) ",,,,,,,,
integer,num_hh_sharing_sanitation,"37.3 If yes, how many households are you sharing this sanitation facility with?",37.3 ??? ???? ?? ??? ???????? ???? ?????? ???? ????????/????????,,,TRUE,"selected(${shared_sanitation}, 'yes')",,.=1 or .<=15,Value is likely too high,?? ??????? ?? ???? ?????? ????? ????,,,,
select_multiple latrine_items,latrine_items,38. Which of the following items are permanently available in your latrine? [NOTE: Read all items from the list],38. ?? ?? ??????? ??????? ????? ???? ???? ?? ????????/ ???????? [??????: ???? ???? ??????? ?? ???????],,,TRUE,"not(selected(${latrines},'none')) and not(selected(${latrines},'do_not_know')) ",,"not(selected(.,‘none’) and count-selected(.) >1) ","Can not select ""None"" with other items","?? ???? ????? ""?? ????"" ?? ?? ???? ???",,,,
select_one yes_no,latrines_lockable_inside,39. Are the latrines used by your household lockable from the inside?,39. ?? ????????/??????? ???? ??????? ????? ???? ??????? ?? ???????,,,TRUE,"not(selected(${latrines},'none')) and not(selected(${latrines},'do_not_know')) ",,,,,,,,
select_one waste_drainage,latrine_waste_drainage,40. Where does waste water from the toilet/latrine that you use drain into?,40. ??? ??? ????? ???? ???????? / ??????? ???? ??????? ??????,,,TRUE,"not(selected(${latrines},'none')) and not(selected(${latrines},'do_not_know')) ",,,,,,,,
text,waste_drainage_other,"40.1 If other, please specify",40.1 ??? ????? ???? ???????,,,TRUE,"selected(${latrine_waste_drainage},'other')",,,,,,,,
begin_group,water_sufficiency,Water Sufficiency,???? ??????,,,,,,,,,,field-list,,
note,sufficient_water,41. Does your household currently have enough water to meet the following needs?,41 ?? ????? ????? ?????? ?? ???? ?? ?????? ?????? ?????????? ????????,,,,,,,,,,,,
select_one ynd,sufficient_water_drinking,41.1 Drinking,41.1 ?????,,,TRUE,,,,,,,,,
select_one ynd,sufficient_water_cooking,41.2 Cooking,41.2 ?????,,,TRUE,,,,,,,,,
select_one ynd,sufficient_water_hygiene_personal,41.3 Personal hygiene (washing or bathing),41.3 ??????? ??????? (???????? ?? ?????????),,,TRUE,,,,,,,,,
select_one ynd,sufficient_water_hygiene_domestic,"41.4 Domestic hygiene (cleaning house, floor, etc.)",41.4 ??????? ???????? (????? ?????? ????????? ??? ??? ???),,,TRUE,,,,,,,,,
select_one ynd,sufficient_water_other,41.5 Other domestic purposes ,41.5 ????? ?????? ???? ,,,TRUE,,,,,,,,,
end_group,water_sufficiency,,,,,,,,,,,,,,
select_multiple water_coping,water_coping_mechanism,42. How has your household coped with any lack of water?,42. ??? ?????? ????? ?? ?? ??? ?? ???????,,,TRUE,"selected(${sufficient_water_drinking}, 'no') and selected(${sufficient_water_cooking}, 'no') and selected(${sufficient_water_hygiene_personal}, 'no') and selected(${sufficient_water_hygiene_domestic}, 'no') and selected(${location}, 'gaza')",,"not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1)","Cannot select ""Don't Know"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,water_coping_other,"42.1 If other, please specify",42.1 ??? ????? ???? ???????,,,TRUE,"selected(${water_coping_mechanism},'other')",,,,,,,,
integer,num_of_floods,43. How many times has your current location seen flooding in the past 3 years?,43. ?? ??? ???? ?????? (????? ??????) ??????? ???? ??????? ?????? ????????,,,TRUE,,,.=0 or.1<=15,Value is likely too high,?? ??????? ?? ???? ?????? ????? ????,,,,
begin_group,floods,Floods,?????????,,,,${num_of_floods} > 0,,,,,,,,
select_multiple floods_effects,floods_effects,43.1 How have your daily activities been affected by floods in the past three years?,43.1??? ????? ?????? ??????? ?????????? ?? ??????? ?????? ???????? [?? ???? ????????],,,TRUE,,,"not(selected(.,""none"") and count-selected(.) >1)","Cannot select ""No Effects"" and any other option","?? ???? ????? ""?? ???? ?????""  ?? ?? ???? ???",,,,
text,floods_effects_other,"43.2 If other, please specify",43.2 ??? ????? ???? ???????,,,TRUE,"selected(${floods_effects},'other')",,,,,,,,
select_multiple shelter_effects,floods_shelter_effects,43.3 How has your shelter been affected by floods in the past three years?,43.3 ??? ???? ????? ?????????? ?? ??????? ?????? ???????? [?? ???? ????????],,,TRUE,,,"not(selected(.,‘none’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Cannot select ""None"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ???? ?????"" ?? ""???? ??? ???????"" ??? ???? ???",,,,
text,shelter_effects_other,"43.4 If other, please specify",43.4 ??? ????? ???? ???????,,,TRUE,"selected(${floods_shelter_effects},'other')",,,,,,,,
select_multiple floods_mitigation,floods_mitigation_measures,43.5 What mitigation measures have you used to reduce the risk of floodings?,43.5 ?? ?? ?????? ??????? ???? ????????? ?????? ????? ?????????? [?? ???? ????????],,,TRUE,,,"not(selected(.,‘nothing’) and count-selected(.) >1) ","Cannot select ""No mitigation measures"" with any other option","?? ???? ????? ""?? ???? ?????? ???????"" ?? ??  ???? ???",,,,
text,floods_mitigation_other,"43.6 If other, please specify",43.6 ??? ????? ???? ???????,,,TRUE,"selected(${floods_mitigation_measures},'other')",,,,,,,,
end_group,floods,,,,,,,,,,,,,,
select_one solid_disposal,solid_waste_disposal,44. How is solid waste from your household disposed of?,44. ??? ??? ?????? ?? ???????? ?????? ?? ??????,,,TRUE,,,,,,,,,
text,solid_disposal_other,"44.1 If other, please specify",44.1 ??? ????? ???? ???????,,,TRUE,"selected(${solid_waste_disposal},'other')",,,,,,,,
integer,waste_accumulation_days,45. How many days in the past 7 days did you see solid waste accumulation in your area?,45. ?? ???? ?? ?????? ???? ??????? ???? ????? ???????? ?????? ?? ???????,,,TRUE,,,.=0 or.<=7,Maximum number of days are 7.,???? ?????? ???? ?????? ?? 7,,,,
end_group,wash,,,,,,,,,,,,,,
begin_group,shelter,Shelter ,??????,,,,"selected(${consent},'yes')",,,,,,,,
note,shelter_start,The next couple of questions will pertain to the situation of the SHELTER that your household is living in,????? ??????? ??????? ???? ?????? ???? ???? ??? ?????:,,,,,,,,,,,,
select_one shelter_type,shelter_type_inperson,46. What type of shelter is the household living in? ,46.?? ?? ??? ?????? ???? ???? ??? ???????,,,TRUE,,,,,,,,,
text,shelter_type_other,"46.1 If other, please specify",46.1 ??? ????? ???? ???????,,,,"selected(${shelter_type_inperson},'other')",,,,,,,,
begin_group,shelter_description,Shelter description,??? ??????,,,,"not(selected(${shelter_type_inperson},'tent')) and not(selected(${shelter_type_inperson},'makeshift_shelter')) and not(selected(${shelter_type_inperson},'none'))  ",,,,,,field-list,,
note,rooms_in_shelter,"47. In total, how many rooms are there in use in this shelter?",47. ?? ?????? ??? ????? ????????? ?? ??? ???????,,,,,,,,,,,,
integer,num_of_bedrooms,47.1 Bedrooms / sleeping areas,47.1 ??? ????? / ????? ?????,,,TRUE,,,.=0 or.<=15,Value is likely too high,?? ??????? ?? ???? ?????? ????? ????,,,,0
integer,num_of_livingrooms,47.2 Living rooms / common areas,47.2 ??? ??????? / ??????? ????????,,,TRUE,,,.=0 or.<=15,Value is likely too high,?? ??????? ?? ???? ?????? ????? ????,,,,0
integer,num_bathroom,47.3 Bathroom / toilets,47.3 ?????? / ????????,,,TRUE,,,.=0 or.<=15,Value is likely too high,?? ??????? ?? ???? ?????? ????? ????,,,,0
calculate,num_of_rooms,,,,,,,,,,,${num_of_bedrooms} + ${num_of_livingrooms} +${num_bathroom},,,
note,calc_num_of_rooms_note,Total number of rooms: ${num_of_rooms},,,,,,,,,,,,,
end_group,shelter_description,,,,,,,,,,,,,,
select_one occupancy_status,occupancy_status,48.What is the occupancy arrangement in your current dwelling?,48.?? ?? ???? ??????? ?? ????? ?????? (??? ?????)?,,,TRUE,"not(selected(${shelter_type_inperson},'none'))",,,,,,,,
text,occupancy_status_other,"48.1 If other, please specify",48.1 ??? ????? ???? ???????,,,TRUE,"selected(${occupancy_status},'other')",,,,,,,,
select_one yndd,hh_risk_eviction,49. Is your HH presently at risk of eviction?,49. ?? ????? ????? ?????? ???? ????????,,,TRUE,,,,,,,,,
select_multiple eviction,hh_main_risks,49.1 What are the main reasons for fearing eviction?,49.1 ?? ?? ??????? ???????? ????? ?? ???????? [?? ???? ????????],,,TRUE,"selected(${hh_risk_eviction}, 'yes')",,,,,,,,
text,hh_main_risks_other,"49.2 If other, please specify",49.2 ??? ????? ???? ???????,,,TRUE,"selected(${hh_main_risks}, 'other')",,,,,,,,
select_multiple shelter_issues,shelter_issues,50. Does the shelter currently have any damage or defects?,50. ?? ???? ?????? ?????? ?? ????? ?? ????? [?? ???? ????????],,,TRUE,"not(selected(${shelter_type_inperson},'none'))",,"not(selected(.,‘none’) and count-selected(.) >1) and not(selected(., ‘know_prefer’) and count-selected(.) >1)","Cannot select ""None"" or ""Don't Know/Prefer Not To Say"" with any other option","?? ???? ????? ""?? ????"" ?? ""?? ????"" ?? ????? ??? ??????? "" ?? ?? ???? ???",,,,
text,shelter_issues_other,"50.1 If other, please describe",50.1 ??? ????? ???? ???????,,,TRUE,"selected(${shelter_issues}, 'other')",,,,,,,,
select_one yndp,experienced_threats,51. Has any member of your household experienced threats or violent/destructive acts by non-Palestinian communities living in your area in the past 30 days? (FOR WEST BANK ONLY),51. ?? ???? ?? ??? ?? ????? ????? ???????? ?? ??? ?? ????? ??????? ?? ??? ??????? ??? ???????? ???? ?? ?????? ???? ???????? ????? ????????,For WB only,,TRUE,"selected(${location}, 'west_bank') or selected(${location}, 'ej')",,,,,,,,
select_multiple threats,type_of_threats,"51.1 If yes, please indicate the type of threats or violent/destructive acts",51.1 ??? ???? ???? ??????? ??? ??? ????????? ?? ??????? ??????? / ????????? [?? ???? ????????],For WB only,,TRUE,"selected(${experienced_threats}, 'yes')",,,,,,,,
text,type_of_threats_other,"51.2 If other, please specify",51.2 ??? ????? ???? ???????,,,TRUE,"selected(${type_of_threats},'other')",,,,,,,,
select_multiple threats_cope,coping_mechanism_threats,51.3 What measures has your household employed to avoid these acts in the past 30 days?,51.3 ?? ?? ????????? ???? ????????? ????? ????? ??? ??????? ?? ???????? ????? ???????? [?? ???? ????????],For WB only,,TRUE,"selected(${experienced_threats}, 'yes')",,"not(selected(.,""none"") and count-selected(.) >1)","Cannot select ""None"" with any other options","?? ???? ????? ""?? ????"" ?? ?? ???? ???",,,,
text,coping_mechanism_threats_other,"51.4 If other, please specify",51.4  ??? ????? ???? ???????,,,TRUE,"selected(${coping_mechanism_threats},'other')",,"not(selected(.,""none"") and count-selected(.) >1)","Cannot select ""None"" with any other options","?? ???? ????? ""?? ????"" ?? ?? ???? ???",,,,
end_group,shelter,,,,,,,,,,,,,,
begin_group,education,Education survey,???????,,,,"selected(${consent},'yes')",,,,,,,,
note,education_start,The next couple of questions will pertain to EDUCATION of children living in the household and their access to education services,????? ??????? ??????? ?????? ??????? ????? ?????? ?? ?????? ??????? ??? ????? ???????,,,,,,,,,,,,
begin_group,school_enrollment,Children School enrollment,???????? ?????? ???????,,,,${tot_children} > 0,,,,,,field-list,,
note,school_enrollment_note,"52. For the 2020-2021 school year, how many school-aged children in the household were enrolled (registered) in formal school? NOTE: this does not mean going physically to school (as schools were partially closed), but that the child was registered/affiliated/'signed-up' with a school.
NOTE:  This includes enrolment in either full-time public schools or recognised private schools. ","52- ??????? ????? ???????? 2020-2021 ? ?? ??? ??????? ?? ?? ??????? ?? ?????? ?????????(????????) ?? ????? ?????? ??????: ??? ?? ???? ?????? ?????? ??? ??????? (??? ???? ??????? ????? ??????) ? ???? ??? ????? ?????? / ??????? / ""???"" ?? ???? ???????.
??????: ???? ??? ??????? ?? ??????? ?????? ????? ???? ?? ??????? ?????? ??????? ???.                              ",,,,,,,,,,,,
integer,num_boys_5_10,52.1 How many boys aged 5-10 were enrolled in school?,52.1 ?? ??? ??????? ????? ?????? ??????? ??? 5-10 ????? ???????? ?????? ?? ????????,,,TRUE,${hh_size_boys_5_10} > 0,,.>=0 and.<=${hh_size_boys_5_10},Cannot be larger than the total number of boys (5-10 years old) in the household,?? ???? ?? ???? ???? ?? ?????? ??? ??????? (5-10 ?????) ?? ??????,,,,
integer,num_girls_5_10,52.2 How many girls aged 5-10 were enrolled in school?,52.2 ?? ??? ??????? ?????? ?????? ??????? ??? 5 ? 10 ????? ????????? ???????? ???????,,,TRUE,${hh_size_girls_5_10} > 0,,.>=0 and.<=${hh_size_girls_5_10},Cannot be larger than the total number of girls (5-10 years old) in the household,?? ???? ?? ???? ???? ?? ?????? ??? ?????? (5-10 ?????) ?? ??????,,,,
integer,num_boys_11_15,52.3 How many boys aged 11-15 were enrolled in school?,52.3 ?? ??? ??????? ????? ?????? ??????? ??? 11 ? 15 ????? ???????? ?????? ?? ????????,,,TRUE,${hh_size_boys_11_15} > 0,,.>=0 and.<=${hh_size_boys_11_15},Cannot be larger than the total number of boys (11-15 years old) in the household,?? ???? ?? ???? ???? ?? ?????? ??? ??????? (11-15 ???) ?? ??????,,,,
integer,num_girls_11_15,52.4 How many girls aged 11-15 were enrolled in school?,52.4 ?? ??? ??????? ?????? ?????? ??????? ??? 11 ? 15 ?????  ???????? ?? ??????? ???????,,,TRUE,${hh_size_girls_11_15} > 0,,.>=0 and.<=${hh_size_girls_11_15},Cannot be larger than the total number of girls (11-15 years old) in the household,?? ???? ?? ???? ???? ?? ?????? ??? ?????? (11-15 ???) ?? ??????,,,,
integer,num_boys_16_17,52.5 How many boys aged 16-17 were enrolled in school?,52.5 ?? ??? ??????? ????? ?????? ??????? ??? 16 ? 17 ????? ???????? ?????? ?? ????????,,,TRUE,${hh_size_boys_16_17} > 0,,.>=0 and.<=${hh_size_boys_16_17},Cannot be larger than the total number of boys (16-17 years old) in the household,?? ???? ?? ???? ???? ?? ?????? ??? ??????? (16-17 ???) ?? ??????,,,,
integer,num_girls_16_17,52.6 How many girls aged 16-17 were enrolled in school?,52.6 ?? ??? ??????? ?????? ?????? ??????? ??? 16 ? 17 ????? ???????? ?? ??????? ???????,,,TRUE,${hh_size_girls_16_17} > 0,,.>=0 and.<=${hh_size_girls_16_17} ,Cannot be larger than the total number of girls (16-17 years old) in the household,?? ???? ?? ???? ???? ?? ?????? ??? ?????? (16-17 ???) ?? ??????,,,,
calculate,total_enrolled_children,,,,,,,,.=0 or.<=${tot_children_school},Cannot be larger than the total number of children in the household,?? ???? ?? ???? ???? ?? ????? ???????? ??????? ?? ??????,${num_boys_5_10} + ${num_girls_5_10} + ${num_boys_11_15} + ${num_girls_11_15} + ${num_boys_16_17} + ${num_girls_16_17},,,
note,calc_note,"Total number of children currently enrolled in school: ${total_enrolled_children}  
Total number of children currently NOT enrolled in school: (${tot_children_school} - ${total_enrolled_children})",,,,,,,,,,,,,
end_group,school_enrollment,,,,,,,,,,,,,,
begin_group,school_going_children,School Going Children,??????? ????????? ????????,,,,,,,,,,,,
integer,remote_learning,"53. While schools were closed in the current school year (2020-2021), how many school-aged children in the household were accessing distance learning regularly? This means they were doing some distance learning activities at least 4 days per week, for at least 3 hours per day e.g. listening to radio/TV broadcasts, textbook learning, online learning",53. ?? ????? ??????? ?? ????? ??????? ?????? (2020-2021)? ?? ??? ??????? ?? ?? ??????? ?? ?????? ????? ????? ??? ?????? ?? ??? ???????? ??? ???? ???? ????? ?????? ???? ????? ?????? ?? ??? ??? ????? 4 ???? ?? ???????? ???? 3 ????? ??? ????? ?????? (??? ???? ??????: ???????? ??? ???? ??????? / ??????????? ???? ????? ????????? ?????? ??? ????????),,,TRUE,${tot_children} > 0,,.<=${tot_children_school},Cannot be larger than the total number of school-aged children in the household,?? ???? ?? ???? ???? ?? ????? ???????? ??????? ?? ?? ??????? ?? ??????,,,,
integer,dropout,54. How many school-aged children in your household dropped out of school during the current school year (2020-2021)?,54. ?? ??? ??????? ?? ?? ??????? ?? ????? ????? ?????  ??????? ???? ????? ??????? ?????? (2020-2021)?,Enter 0 if none,???? 0 ??? ?? ??? ???? ?? ???,TRUE,${tot_children} > 0,,.<=${tot_children_school},Cannot be larger than the total number of school-aged children in the household,?? ???? ?? ???? ???? ?? ????? ???????? ??????? ?? ?? ??????? ?? ??????,,,,
select_multiple drop_out,drop_out_reason,"54.1 If you have any children that dropped out of school, define the main reason(s) for dropping out",54.1 ??? ??? ???? ?? ????? ????? ???????? ??? ??? ??????? ???????? ???? [?? ???? ????????],,,TRUE,${dropout} > 0,,"not(selected(.,‘none’) and count-selected(.) >1)","Cannot select ""None"" with any other option","?? ???? ????? ""?? ????"" ?? ?? ???? ???",,,,
text,other_drop_out,"54.2 If other, please specify",54.2 ??? ????? ???? ???????,,,,"selected(${drop_out_reason},'other')",,,,,,,,
select_one yndp,disabled_schl_attendance,55. Are any school-aged children with a disability not attending formal or informal education regularly (at least 4 days per week),55. ?? ??????? ??? ?????????? ?????? ?????? ?? ?? ??????? ?? ?????? ??? ??????? ?????? ?? ??? ?????? ??????? (4 ???? ??? ????? ?? ???????)?,,,TRUE,${tot_cwd} > 0,,,,,,,,
select_multiple disabled_edu_challenges,disabled_edu_challenges,55.1 What additional challenges do children with a disability face in accessing education services?,55.1 ?? ?? ???????? ???????? ???? ??????? ??????? ??? ?????????? ?????? ?? ?????? ??? ????? ???????? [?? ???? ????????],,,TRUE,${tot_cwd} > 0,,"not(selected(.,‘none’) and count-selected(.) >1)","Cannot select ""None"" with any other option","?? ???? ????? ""?? ????"" ?? ?? ???? ???",,,,
text,other_disabled_edu_challenges,"55.2 If other, please specify",55.2 ??? ????? ???? ???????,,,TRUE,"selected(${disabled_edu_challenges},'other')",,,,,,,,
select_one ynp,catch_up_learning,56. Do you think there is a need for your children to participate in catch-up learning programmes because of missed learning due to COVID-19 related school closures?,56.  ?? ????? ?? ?????? ????? ???????? ?? ????? ??????? ????????? ???? ????? ?????? ????? ????? ??????? ???? ???????,,,TRUE,${tot_children} > 0,,,,,,,,
select_one children_enroll,planning_schl_enrollment,57. Are you planning to enroll all your eligible children in school at the beginning of the coming school year?,57. ?? ???? ?????? ???? ?????? ????????? ?? ??????? ?? ????? ????? ??????? ???????,,,TRUE,"${tot_children} > 0 and selected(${location}, 'gaza')
",,,,,,,,
